episode,timesteps,wall_clock_s,episode_reward,episode_length,collisions,lap_completed
159,21336,541.30,-11.440,144,1,0
160,21498,544.68,-21.080,108,1,0
161,21588,546.61,-24.620,162,1,0
162,21648,547.90,-16.450,245,1,0
163,21900,553.27,-17.940,94,1,0
164,22176,559.20,-16.880,88,1,0
165,22200,559.73,-28.830,283,1,0
166,22440,565.19,-19.570,157,1,0
167,22728,571.95,-13.630,263,1,0
168,22740,572.27,-15.500,50,1,0
169,23046,579.35,-13.910,191,1,0
170,23190,582.72,-11.650,165,1,0
171,23310,585.54,-14.870,287,1,0
172,23454,588.79,-14.130,213,1,0
173,23712,594.76,-13.870,87,1,0
174,24060,602.69,-12.220,222,1,0
175,24270,607.54,-22.040,204,1,0
176,24282,607.86,-12.570,257,1,0
177,25488,678.47,-15.630,363,1,0
178,25608,681.13,-12.590,359,1,0
179,25896,687.40,-10.640,364,1,0
180,25998,689.67,-11.860,286,1,0
181,26232,695.05,-12.620,362,1,0
182,26544,702.03,-12.790,379,1,0
183,26904,710.39,-20.360,236,1,0
184,27054,713.74,-18.760,176,1,0
185,27384,721.24,-11.960,296,1,0
186,27900,732.93,-12.340,334,1,0
187,28068,736.86,-16.540,254,1,0
188,28410,744.41,-10.630,363,1,0
189,29004,757.91,-12.500,350,1,0
190,29118,760.53,-12.440,344,1,0
191,29352,766.13,-22.420,242,1,0
192,29454,768.48,-11.450,345,1,0
193,30282,787.34,-11.550,155,1,0
194,30312,788.06,-10.740,374,1,0
195,30588,794.40,-12.630,363,1,0
196,31008,803.77,-12.340,334,1,0
197,31122,806.44,-12.780,278,1,0
198,31248,809.29,-11.550,355,1,0
199,31440,814.06,-14.930,193,1,0
200,32166,841.34,-10.740,174,1,0
201,32568,851.64,-11.760,376,1,0
202,32748,856.11,-11.600,360,1,0
203,33060,863.52,-16.700,270,1,0
204,33138,865.36,-12.550,355,1,0
205,33324,869.71,-10.460,346,1,0
206,34080,889.67,-12.190,319,1,0
207,34242,894.06,-12.840,184,1,0
208,34488,900.40,-11.380,238,1,0
209,34752,907.23,-11.640,364,1,0
210,34806,908.79,-11.430,343,1,0
211,35442,925.53,-13.530,353,1,0
212,36000,940.27,-13.200,320,1,0
213,36354,949.75,-11.520,352,1,0
214,36630,956.52,-11.570,357,1,0
215,36930,1004.50,-12.540,354,1,0
216,36960,1005.14,-11.680,368,1,0
217,37500,1015.88,-12.430,343,1,0
218,37974,1025.52,-11.290,329,1,0
219,38274,1031.47,-10.200,320,1,0
220,38766,1040.99,-11.560,356,1,0
221,39024,1046.08,-10.440,344,1,0
222,39156,1048.88,-12.710,371,1,0
223,39540,1056.53,-12.110,211,1,0
224,39594,1057.62,-11.490,349,1,0
225,40032,1066.10,-12.430,343,1,0
226,40812,1080.91,-12.410,341,1,0
227,41178,1088.02,-10.590,359,1,0
228,41358,1091.43,-11.670,367,1,0
229,41604,1096.30,-11.440,344,1,0
230,41676,1097.68,-15.470,347,1,0
231,42120,1106.13,-9.480,348,1,0
232,43098,1125.73,-12.810,381,1,0
233,43386,1131.75,-9.970,297,1,0
234,43410,1132.36,-11.720,372,1,0
235,43542,1135.14,-13.640,364,1,0
236,43704,1138.58,-13.380,338,1,0
237,44160,1148.28,-13.400,340,1,0
238,45138,1168.89,-12.400,340,1,0
239,45210,1170.45,-6.780,278,1,0
240,45366,1173.86,-13.260,326,1,0
241,45582,1178.56,-11.660,366,1,0
242,45828,1183.47,-11.540,354,1,0
243,46218,1191.23,-10.430,343,1,0
244,47328,1212.95,-12.650,365,1,0
245,47352,1213.53,-10.570,357,1,0
246,47376,1214.07,-13.350,335,1,0
247,47664,1219.86,-11.470,347,1,0
248,47946,1225.33,-12.530,353,1,0
249,48396,1234.18,-11.630,363,1,0
250,49206,1289.02,-9.130,313,1,0
251,49440,1293.46,-12.440,344,1,0
252,49542,1295.43,-9.650,365,1,0
253,49674,1298.13,-10.350,335,1,0
254,50010,1305.58,-10.440,344,1,0
255,50394,1313.14,-11.330,333,1,0
256,51108,1327.15,-10.170,317,1,0
257,51444,1333.76,-12.170,317,1,0
258,51540,1335.88,-10.500,350,1,0
259,51684,1339.01,-12.350,335,1,0
260,52134,1348.38,-12.540,354,1,0
261,52542,1357.11,-12.580,358,1,0
262,53106,1368.21,-10.330,333,1,0
263,53472,1375.67,-12.380,338,1,0
264,53706,1380.50,-9.610,361,1,0
265,53796,1382.32,-11.520,352,1,0
266,54216,1390.94,-11.470,347,1,0
267,54702,1401.03,-11.600,360,1,0
268,55158,1410.61,-10.420,342,1,0
269,55560,1419.24,-11.480,348,1,0
270,55728,1422.83,-12.370,337,1,0
271,55782,1424.03,-10.310,331,1,0
272,56370,1436.77,-10.590,359,1,0
273,56826,1446.52,-11.540,354,1,0
274,56988,1449.85,-10.050,305,1,0
275,57630,1464.20,-13.450,345,1,0
276,57804,1468.09,-10.460,346,1,0
277,57948,1471.43,-12.610,361,1,0
278,58476,1482.60,-9.510,351,1,0
279,59004,1494.01,-11.630,363,1,0
280,59160,1497.42,-9.620,362,1,0
281,59562,1505.88,-10.220,322,1,0
282,59742,1509.65,-11.230,323,1,0
283,59928,1513.70,-11.300,330,1,0
284,60390,1524.02,-11.190,319,1,0
285,61038,1538.29,-13.390,339,1,0
286,61164,1541.19,-11.340,334,1,0
287,61536,1589.00,-12.290,329,1,0
288,61734,1592.89,-9.320,332,1,0
289,61968,1597.65,-9.400,340,1,0
290,62418,1606.81,-11.380,338,1,0
291,62964,1617.62,-11.210,321,1,0
292,63096,1620.21,-12.220,322,1,0
293,63594,1630.04,-11.100,310,1,0
294,63594,1630.04,-11.430,343,1,0
295,63822,1634.50,-11.090,309,1,0
296,64482,1647.22,-10.440,344,1,0
297,65112,1659.41,-12.580,358,1,0
298,65154,1660.24,-11.430,343,1,0
299,65514,1667.15,-10.200,320,1,0
300,65562,1668.09,-10.280,328,1,0
301,65946,1675.47,-11.540,354,1,0
302,66456,1685.15,-9.290,329,1,0
303,66906,1693.62,-10.990,299,1,0
304,67164,1698.62,-11.350,335,1,0
305,67656,1707.88,-9.570,357,1,0
306,67692,1708.60,-11.550,355,1,0
307,67998,1714.33,-9.420,342,1,0
308,68550,1724.93,-11.490,349,1,0
309,68964,1732.80,-9.430,343,1,0
310,69078,1734.97,-10.190,319,1,0
311,69504,1743.25,-10.080,308,1,0
312,69672,1746.65,-10.300,330,1,0
313,70086,1754.74,-10.480,348,1,0
314,70704,1767.31,-11.590,359,1,0
315,70932,1772.02,-10.090,309,1,0
316,70986,1773.13,-9.370,337,1,0
317,71334,1780.26,-10.050,305,1,0
318,71736,1788.30,-11.440,344,1,0
319,71736,1788.30,-8.750,275,1,0
320,72708,1807.47,-10.340,334,1,0
321,72864,1810.84,-10.220,322,1,0
322,73080,1815.45,-12.490,349,1,0
